address,balance
0x307538d1ff324e77e5eb202e5aca37e0bad359d6,34357
0x6795458378538ebe0a12d9e2e5ec1c32f0af1fbb,17968
0xbcd07bc53a3b9c71f10b731917d451ade68b0ac2,14610
0xc06ebbefd94032b85424d51906e2a335efae264b,11979
0x00000000009726632680fb29d3f7a9734e3010e2,10625
0xab13b8eecf5aa2460841d75da5d5d861fd5b8a39,10000
0xfe7053cc308383f54a1516b5d976ea71f1570af8,8182
0x0bcab08aba1c82e7074b5bc197649f471f73fb83,7877
0x1f2f10d1c40777ae1da742455c65828ff36df387,7503
0x76db5ea14f3a01da6a64808f2784db977b6fe7d5,6316
0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,6001
0x79a2a0153974736b7f018b0859300341ad5f207a,5029
0x0d05a7d3448512b78fa8a9e46c4872c88c4a0d05,4758
0x42e213a3ad048e899b89ea8cb11d21bc97b84748,4319
0x28bf6006d87de7f44445905aa4f5cb8c0d8cba02,3839
0x27fae9d8f186651a0e6fe084cd4feaaf2533d9f1,830
0x828ae1566824a9835acb6f565e1e9ea22bfb883a,779
0x32757f03722c637f6598dc789e2209a2d05d3965,484
0xe72fe64840f4ef80e3ec73a1c749491b5c938cb9,430
0xde7259893af7cdbc9fd806c6ba61d22d581d5667,395
0x6a5efa07ba90c4e218185ad54e099c070b11e386,394
0x79ad858cdff50ca6728d2531894001f221e805c7,300
0x9d6b911199b891c55a93e4bc635bf59e33d002d8,300
0xad01c20d5886137e056775af56915de824c8fce5,248
0xa090fc409a9f25bf8e28257d42ef6904590c8984,200
0x82d9a407f99a95db4671e7021d625cbd0787a407,199
0xf5c4f3dc02c3fb9279495a8fef7b0741da956157,169
0xfb2fb49a79df0a82fafcadd24f36e7854e1ce6a2,165
0xebcfb591d464ec8023cca2bce8ff4125dc802889,119
0xf9bb26e925dcc395b3a02032db0c83051a149a34,109
0x36331e299247e5d0d3261e1d9852f6e0cffee95c,100
0xc5d263c097b36df802ce9e030ff6c96c202fa028,96
0x00000f91109c4d0007e90000d9facad5298a0cac,21
0xd493066498ace409059fda4c1bcd2e73d8cffe01,17
0xc0d3503d5bb109fe557fcb23fee16f8258d48c3b,16
0x932d4234472c2c57b3b5a125df07369cc180090e,10
0xb32b1ee5856752f06da6881544a7bc21b13851dc,10
0xefbf09fe9c3acbd9b42e146091dbc0683242a4f5,8
0x5b5a0580bcfd3673820bb249514234afad33e209,5
0x06cff7088619c7178f5e14f0b119458d08d2f5ef,2
0x0000000000d8244d1f199db6dfe2d50351320b20,1
0x000010036c0190e009a000d0fc3541100a07380a,1
0x0a80e0b3000fa00308b090007009a0eb03ac0c55,1
0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,1
0x10100dcac00088044067a00d520a0f7900000770,1
0x1111111254eeb25477b68fb85ed929f73a960582,1
0x16c6521dff6bab339122a0fe25a9116693265353,1
0x2141af658ffda533da864dd11b2ffdb8529c8b94,1
0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,1
0x2905d7e4d048d29954f81b02171dd313f457a4a4,1
0x2c0552e5dcb79b064fd23e358a86810bc5994244,1
0x2face000aed2725515d21e5dea730852e82b38c5,1
0x3b0aa7d38bf3c103bf02d1de2e37568cbed3d6e8,1
0x3bfe65f217df9ad7358698580aeb47f692241c48,1
0x3ce1cb3b52044f220e18878ea07d09e72aede0e3,1
0x3ced11c610556e5292fbc2e75d68c3899098c14c,1
0x3face0004bc1003b9d0672e7b23134cb80115fb6,1
0x45312ea0eff7e09c83cbe249fa1d7598c4c8cd4e,1
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,1
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,1
0x65188edb73272e96e98ebb4193af99b18457b961,1
0x6a000f20005980200259b80c5102003040001068,1
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,1
0x719f8b330cca71cb6195d032a43194c7d3f9fb45,1
0x7287f3041c4ee45c66f306520cc7439515770397,1
0x7a9c9fb2e5b968a34e81c1b24cb509f54c38dbbd,1
0x7f51c134230eb9e5aba42bc364d3d3eba26d9712,1
0x81602ef321c46d73f5ba7f476947ae1a862957dc,1
0x85536b6703c5daa7fed82a601e5600edb0d1d719,1
0x8c864d0c8e476bf9eb9d620c10e1296fb0e2f940,1
0x8f10b468b06c6fd214b65f87778827f7d113f996,1
0xad30f7eebd9bd5150a256f47da41d4403033cdf0,1
0xb2f72662ed42067ccce278f8462a0215b6adcabb,1
0xba58c9b54acb83e66b8b58ed31e7b5e3adc74b00,1
0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,1
0xc79f68142bc7eadd594c1ad876398a12afcc6523,1
0xcde51b16717139891d40a872215d96a5ef38eee0,1
0xd2b37ade14708bf18904047b1e31f8166d39612b,1
0xd3f72b3e91c8124dfc1b4273e93594bb00c9be6f,1
0xda099a010289a50e52dd86ce2adf20d2b91fd0ac,1
0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,1
0xf13176ece4ed8d9aa4c335cd4f247458d4863fe4,1
